"date_time","bid_open","bid_high","bid_low","bid_close"
2024-06-07 07:00:00.000 +0700,2376.33,2387.69,2286.71,2294.19
2024-07-01 07:00:00.000 +0700,2323.21,2338.53,2318.50,2331.72
2024-07-02 07:00:00.000 +0700,2331.46,2334.32,2323.36,2331.32
2024-07-03 07:00:00.000 +0700,2329.80,2364.92,2326.82,2355.92
2024-07-04 07:00:00.000 +0700,2355.70,2362.52,2350.64,2356.10
2024-07-05 07:00:00.000 +0700,2356.84,2392.91,2352.30,2390.97
2024-07-08 07:00:00.000 +0700,2389.67,2391.13,2351.14,2358.47
2024-07-09 07:00:00.000 +0700,2358.82,2371.33,2349.29,2363.74
2024-07-10 07:00:00.000 +0700,2362.50,2386.61,2362.19,2371.50
2024-07-11 07:00:00.000 +0700,2370.75,2424.54,2370.44,2414.30
2024-07-12 07:00:00.000 +0700,2413.01,2418.17,2391.44,2411.41
2024-07-15 07:00:00.000 +0700,2410.90,2439.67,2401.32,2421.71
2024-07-16 07:00:00.000 +0700,2421.90,2469.65,2420.01,2468.82
2024-07-17 07:00:00.000 +0700,2467.62,2483.74,2451.51,2459.24
2024-07-18 07:00:00.000 +0700,2457.56,2474.92,2440.30,2445.34
2024-07-19 07:00:00.000 +0700,2444.57,2445.16,2393.77,2398.20
2024-08-01 07:00:00.000 +0700,2447.59,2462.21,2430.22,2446.32
2024-08-02 07:00:00.000 +0700,2447.16,2477.59,2410.95,2442.44
2024-08-04 07:00:00.000 +0700,2445.00,2447.60,2437.81,2441.22
2024-08-05 07:00:00.000 +0700,2441.23,2458.79,2364.23,2408.75
2024-08-06 07:00:00.000 +0700,2408.82,2418.22,2381.64,2388.46
2024-08-07 07:00:00.000 +0700,2388.53,2406.98,2378.76,2383.63
2024-08-08 07:00:00.000 +0700,2383.67,2427.98,2382.64,2425.64
2024-08-09 07:00:00.000 +0700,2425.62,2436.95,2416.71,2430.87
2024-08-11 07:00:00.000 +0700,2429.75,2433.36,2426.70,2430.30
2024-08-12 07:00:00.000 +0700,2430.25,2474.00,2423.68,2473.69
2024-08-13 07:00:00.000 +0700,2473.67,2476.90,2458.31,2465.41
2024-08-14 07:00:00.000 +0700,2465.38,2479.61,2438.02,2447.73
2024-11-19 07:00:00.000 +0700,2612.64,2639.38,2610.90,2635.03
2024-11-20 07:00:00.000 +0700,2634.94,2655.34,2618.74,2651.98
2024-11-21 07:00:00.000 +0700,2652.02,2673.44,2650.29,2668.93
2024-10-02 07:00:00.000 +0700,2661.98,2663.20,2641.01,2659.34
2024-10-03 07:00:00.000 +0700,2659.33,2662.90,2635.01,2656.04
2024-10-04 07:00:00.000 +0700,2655.92,2670.05,2631.94,2653.28
2024-10-06 07:00:00.000 +0700,2650.78,2652.69,2649.58,2650.62
2024-10-07 07:00:00.000 +0700,2650.61,2659.53,2637.61,2644.08
2024-10-08 07:00:00.000 +0700,2644.09,2652.86,2604.68,2621.83
2024-10-09 07:00:00.000 +0700,2621.89,2624.21,2605.07,2608.77
2024-10-10 07:00:00.000 +0700,2608.70,2631.42,2604.55,2628.14
2024-10-11 07:00:00.000 +0700,2628.16,2661.34,2628.16,2657.12
2024-10-13 07:00:00.000 +0700,2650.93,2652.53,2645.00,2650.14
2024-10-14 07:00:00.000 +0700,2650.28,2666.69,2643.05,2649.88
2024-10-15 07:00:00.000 +0700,2650.03,2668.87,2638.01,2662.05
2024-10-16 07:00:00.000 +0700,2662.07,2685.21,2658.65,2673.65
2024-10-17 07:00:00.000 +0700,2673.64,2696.65,2673.10,2692.49
2024-10-18 07:00:00.000 +0700,2692.63,2722.45,2692.18,2721.25
2024-10-20 07:00:00.000 +0700,2720.50,2723.83,2719.90,2723.43
2024-10-21 07:00:00.000 +0700,2723.58,2740.48,2714.06,2720.55
2024-10-22 07:00:00.000 +0700,2720.53,2748.88,2720.20,2747.37
2024-10-23 07:00:00.000 +0700,2747.27,2758.39,2708.63,2717.93
2024-10-24 07:00:00.000 +0700,2717.94,2743.17,2717.70,2734.45
2024-10-25 07:00:00.000 +0700,2734.47,2747.68,2716.87,2747.33
2024-10-27 07:00:00.000 +0700,2732.15,2740.17,2730.07,2735.74
2024-10-28 07:00:00.000 +0700,2735.75,2745.85,2724.58,2744.35
2024-10-29 07:00:00.000 +0700,2744.39,2775.38,2743.18,2774.86
2024-10-30 07:00:00.000 +0700,2774.88,2789.96,2770.77,2785.23
2024-10-31 07:00:00.000 +0700,2785.30,2790.03,2731.42,2746.46
2024-11-01 07:00:00.000 +0700,2746.47,2762.08,2733.03,2736.18
2024-11-03 07:00:00.000 +0700,2736.55,2740.25,2729.27,2738.17
2024-11-04 07:00:00.000 +0700,2738.15,2748.05,2731.73,2735.82
2024-11-05 07:00:00.000 +0700,2735.95,2749.92,2724.65,2745.59
2024-11-06 07:00:00.000 +0700,2745.54,2749.61,2652.27,2663.83
2024-11-07 07:00:00.000 +0700,2663.85,2710.23,2643.27,2706.71
2024-11-08 07:00:00.000 +0700,2706.79,2710.29,2680.29,2684.20
2024-11-10 07:00:00.000 +0700,2684.68,2685.57,2681.20,2685.50
2024-11-11 07:00:00.000 +0700,2685.60,2685.97,2610.46,2623.82
2024-11-12 07:00:00.000 +0700,2623.75,2627.04,2589.63,2598.74
2024-11-13 07:00:00.000 +0700,2598.94,2618.73,2569.05,2570.84
2024-11-14 07:00:00.000 +0700,2570.74,2577.39,2536.77,2566.72
2024-11-15 07:00:00.000 +0700,2566.74,2575.94,2554.29,2562.85
2024-11-17 07:00:00.000 +0700,2568.10,2575.42,2566.43,2571.29
2024-11-18 07:00:00.000 +0700,2571.28,2615.00,2569.74,2612.44
2024-12-26 07:00:00.000 +0700,2618.37,2639.06,2618.13,2632.16
2024-12-27 07:00:00.000 +0700,2632.16,2638.26,2611.59,2621.48
2024-12-29 07:00:00.000 +0700,2617.02,2626.25,2617.02,2623.84
2024-12-30 07:00:00.000 +0700,2623.84,2628.08,2596.10,2606.81
2024-12-31 07:00:00.000 +0700,2606.61,2627.42,2602.63,2623.95
2025-01-01 07:00:00.000 +0700,2622.75,2625.62,2621.56,2623.77
2025-01-20 07:00:00.000 +0700,2695.61,2713.75,2689.27,2710.26
2025-01-21 07:00:00.000 +0700,2710.12,2745.93,2702.69,2744.21
2025-01-22 07:00:00.000 +0700,2744.40,2763.28,2742.62,2755.62
2025-01-23 07:00:00.000 +0700,2754.91,2758.76,2735.85,2754.25
2025-01-24 07:00:00.000 +0700,2754.08,2785.92,2754.06,2771.50
2025-01-26 07:00:00.000 +0700,2766.34,2770.02,2764.20,2767.64
2025-01-27 07:00:00.000 +0700,2767.59,2772.45,2730.42,2741.45
2025-01-28 07:00:00.000 +0700,2742.19,2765.00,2734.75,2762.57
2025-01-29 07:00:00.000 +0700,2762.32,2766.23,2744.80,2760.19
2025-01-30 07:00:00.000 +0700,2760.28,2798.40,2758.68,2796.31
2025-01-31 07:00:00.000 +0700,2796.27,2817.11,2791.00,2800.09
2024-11-22 07:00:00.000 +0700,2668.94,2716.15,2668.63,2715.83
2024-11-24 07:00:00.000 +0700,2708.60,2721.23,2705.30,2719.81
2024-11-25 07:00:00.000 +0700,2719.76,2720.03,2605.02,2610.37
2024-11-26 07:00:00.000 +0700,2610.42,2641.85,2608.64,2632.23
2024-11-27 07:00:00.000 +0700,2632.18,2658.17,2626.92,2636.88
2024-11-28 07:00:00.000 +0700,2636.86,2649.52,2620.92,2638.71
2024-11-29 07:00:00.000 +0700,2638.69,2666.16,2633.93,2658.78
2024-11-30 07:00:00.000 +0700,2658.81,2662.17,2648.50,2650.15
2024-12-02 07:00:00.000 +0700,2650.20,2651.53,2621.73,2642.20
2024-12-03 07:00:00.000 +0700,2642.22,2655.43,2633.40,2640.36
2024-12-04 07:00:00.000 +0700,2640.35,2657.07,2632.36,2650.21
2024-12-05 07:00:00.000 +0700,2650.23,2655.42,2623.35,2633.60
2024-12-06 07:00:00.000 +0700,2633.67,2645.47,2613.28,2633.05
2024-12-08 07:00:00.000 +0700,2646.40,2648.20,2636.26,2639.93
2024-12-09 07:00:00.000 +0700,2639.84,2676.35,2627.45,2660.40
2024-12-10 07:00:00.000 +0700,2660.38,2698.22,2657.82,2695.88
2024-12-11 07:00:00.000 +0700,2695.86,2721.13,2673.86,2719.88
2024-12-12 07:00:00.000 +0700,2719.84,2726.15,2675.02,2680.40
2024-12-13 07:00:00.000 +0700,2680.35,2692.62,2645.89,2648.13
2024-12-15 07:00:00.000 +0700,2649.60,2652.90,2648.38,2651.31
2024-12-16 07:00:00.000 +0700,2651.23,2664.31,2643.16,2651.55
2024-12-17 07:00:00.000 +0700,2651.65,2658.55,2632.90,2647.28
2024-12-18 07:00:00.000 +0700,2647.24,2651.56,2583.35,2588.03
2024-12-19 07:00:00.000 +0700,2588.08,2626.33,2586.73,2593.38
2024-12-20 07:00:00.000 +0700,2593.30,2631.91,2589.38,2622.83
2024-12-22 07:00:00.000 +0700,2617.92,2624.50,2621.50,2624.35
2024-12-23 07:00:00.000 +0700,2624.34,2633.21,2608.14,2615.24
2024-12-24 07:00:00.000 +0700,2615.25,2621.42,2610.07,2614.61
2024-12-25 07:00:00.000 +0700,2613.11,2620.15,2612.89,2618.37
2025-01-02 07:00:00.000 +0700,2623.77,2660.42,2622.65,2658.41
2025-01-03 07:00:00.000 +0700,2658.41,2664.90,2636.60,2639.20
2025-01-05 07:00:00.000 +0700,2640.43,2642.28,2638.84,2640.91
2025-01-06 07:00:00.000 +0700,2640.87,2649.47,2614.69,2634.56
2025-01-07 07:00:00.000 +0700,2634.60,2664.26,2632.93,2649.61
2025-01-08 07:00:00.000 +0700,2649.50,2670.04,2645.19,2662.40
2025-01-09 07:00:00.000 +0700,2662.45,2678.30,2655.48,2669.85
2025-01-10 07:00:00.000 +0700,2669.90,2697.75,2663.71,2688.29
2025-01-12 07:00:00.000 +0700,2689.05,2691.24,2685.38,2690.86
2025-01-13 07:00:00.000 +0700,2690.91,2693.14,2656.67,2667.90
2025-01-14 07:00:00.000 +0700,2668.10,2678.32,2659.98,2675.44
2025-01-15 07:00:00.000 +0700,2675.70,2697.29,2669.31,2694.87
2025-01-16 07:00:00.000 +0700,2695.27,2724.67,2689.84,2714.52
2025-01-17 07:00:00.000 +0700,2714.36,2717.32,2699.13,2702.66
2025-01-19 07:00:00.000 +0700,2697.32,2702.99,2690.94,2696.10
2025-02-02 07:00:00.000 +0700,2800.21,2803.55,2783.48,2793.43
2025-02-03 07:00:00.000 +0700,2792.72,2830.50,2772.02,2814.09
2025-02-04 07:00:00.000 +0700,2813.68,2845.47,2807.16,2841.24
2025-02-05 07:00:00.000 +0700,2841.49,2882.26,2839.69,2869.31
2025-02-06 07:00:00.000 +0700,2869.21,2873.16,2834.17,2857.95
2025-02-07 07:00:00.000 +0700,2858.27,2886.75,2852.48,2861.14
2025-02-09 07:00:00.000 +0700,2856.91,2870.36,2853.03,2867.45
2025-02-10 07:00:00.000 +0700,2867.37,2921.57,2865.80,2917.73
2025-02-11 07:00:00.000 +0700,2917.95,2942.78,2881.77,2898.74
2025-02-12 07:00:00.000 +0700,2898.74,2909.15,2864.02,2905.88
2025-02-13 07:00:00.000 +0700,2905.71,2932.33,2901.41,2931.06
2025-02-14 07:00:00.000 +0700,2931.37,2940.05,2877.02,2882.78
2025-02-16 07:00:00.000 +0700,2880.85,2893.52,2878.71,2879.43
2025-02-17 07:00:00.000 +0700,2879.69,2906.34,2879.53,2899.23
2025-02-18 07:00:00.000 +0700,2899.62,2936.92,2891.88,2933.93
2025-02-19 07:00:00.000 +0700,2933.92,2946.98,2918.60,2935.47
2025-02-20 07:00:00.000 +0700,2936.22,2954.89,2924.13,2941.41
2025-02-21 07:00:00.000 +0700,2942.07,2949.77,2916.77,2935.57
2025-02-23 07:00:00.000 +0700,2934.67,2940.17,2933.68,2935.79
2025-02-24 07:00:00.000 +0700,2936.32,2956.19,2921.33,2950.06
2025-02-25 07:00:00.000 +0700,2950.38,2952.51,2888.30,2918.50
2025-02-26 07:00:00.000 +0700,2918.70,2930.14,2890.80,2919.32
2025-02-27 07:00:00.000 +0700,2919.05,2919.10,2867.85,2875.92
2025-02-28 07:00:00.000 +0700,2875.54,2885.03,2832.67,2858.98
2025-03-02 07:00:00.000 +0700,2854.12,2876.64,2853.96,2870.77
2025-03-03 07:00:00.000 +0700,2868.03,2895.28,2858.85,2890.74
2025-03-04 07:00:00.000 +0700,2890.32,2927.82,2881.98,2914.47
2025-03-05 07:00:00.000 +0700,2913.98,2929.82,2894.29,2918.25
2025-03-06 07:00:00.000 +0700,2917.94,2926.53,2891.28,2910.45
2025-03-07 07:00:00.000 +0700,2909.65,2930.30,2896.49,2909.21
